Date,Open,High,Low,Close,Volume,MA_50,MA_200,Returns,Log_Returns,Rolling_Mean,Rolling_Std,Rolling_Volatility
2015-01-02,24.694236978633914,24.705322239577697,23.798602356597982,24.237552642822266,212818400,,,,,,,
2015-01-05,24.00699407808688,24.08680322434,23.368522599435355,23.55474281311035,257142000,,,-2.81715666500727,-2.8575999000478793,,,
2015-01-06,23.619030641634858,23.81633609193056,23.19559874156603,23.556957244873047,263188400,,,0.009401213930737562,0.009400772044315612,,,
2015-01-07,23.76535220011818,23.98704392471396,23.65450633782029,23.887283325195312,160423600,,,1.4022442579852301,1.3925037645814182,,,
2015-01-08,24.215379598807615,24.862718808875904,24.097881603917656,24.805078506469727,237458000,,,3.842191549284979,3.7702171803579447,,,
2015-01-09,24.97800165194986,25.106583234710648,24.432640311803063,24.83168601989746,214798000,,,0.10726639474571975,0.10720890545596391,,,
2015-01-12,24.962488900263498,24.96913938166108,24.120061326220533,24.21982192993164,198603200,,,-2.4640456933755384,-2.4949113841104107,,,
2015-01-13,24.70310120728101,25.00681938380781,24.144438980365567,24.43485450744629,268367600,,,0.8878371531249929,0.8839190528950042,,,
2015-01-14,24.173259238412005,24.494711474568152,24.05354553692245,24.341745376586914,195826400,,,-0.3810504819294125,-0.3817783288427435,,,
2015-01-15,24.386078361924277,24.39937931797329,23.645629158066633,23.68109893798828,240056000,,,-2.7140471169091906,-2.7515576354116136,,,
2015-01-16,23.72765845555715,23.849589546937747,23.321962305734257,23.497098922729492,314053200,,,-0.7769910329778806,-0.7800253360323066,,,
2015-01-20,23.907231848461198,24.157744549135312,23.610165785646576,24.10232162475586,199599600,,,2.5757337278812686,2.5431205401402104,,,
2015-01-21,24.15330339614755,24.621072889818013,24.00255301394987,24.286319732666016,194303600,,,0.7634040851947077,0.7605049018489946,,,
2015-01-22,24.443720442092136,24.93365875835831,24.32400675479041,24.918140411376953,215185600,,,2.6015497023252676,2.5682850945671283,,,
2015-01-23,24.895972028166835,25.21742423193683,24.725268516966384,25.046722412109375,185859200,,,0.5160176426075358,0.5146908339904573,,,
2015-01-26,25.21521055439176,25.352660001314483,25.006821530740638,25.073328018188477,222460000,,,0.10622390283783201,0.10616752517100142,,,
2015-01-27,24.922577258846545,24.935879909246182,24.171042629136025,24.1954288482666,382274800,,,-3.501326865285048,-3.564092763700878,,,
2015-01-28,26.077597214719916,26.186227378641483,25.56327247619629,25.56327247619629,585908400,,,5.653314254141373,5.499292771106066,,,
2015-01-29,25.787181068734693,26.423436920592042,25.618694886212186,26.359146118164062,337745600,,,3.113348037536534,3.0658663556128163,,,
2015-01-30,26.248299275082537,26.603005679197125,25.90467644184349,25.97340202331543,334982000,,,-1.4634165049178804,-1.4742300722756345,,,
2015-02-02,26.170700293426666,26.4189938621203,25.733967466726934,26.299280166625977,250956400,,,1.2546609913403506,1.246855342137672,,,
2015-02-03,26.270464476118452,26.401261757431495,26.073159013253253,26.30371856689453,207662800,,,0.016876508560059733,0.016875084637557193,,,
2015-02-04,26.27046617349994,26.7160669593945,26.228344209703778,26.50545883178711,280598800,,,0.7669648090992132,0.7640385865481414,,,
2015-02-05,26.712441335234317,26.75918181333036,26.541065808392663,26.694637298583984,168984800,,,0.7137339821108757,0.7111989562051724,,,
2015-02-06,26.71244351282826,26.763634579747894,26.363014006611284,26.469846725463867,174826400,,,-0.8420813911266034,-0.8456469270590797,,,
2015-02-09,26.385273124818873,26.67238256646888,26.35856451948115,26.645675659179688,155559200,,,0.6642612461623232,0.6620647527508486,,,
2015-02-10,26.745827739601534,27.186510351861603,26.743603296210924,27.157575607299805,248034000,,,1.9211370530353378,1.9029162102370132,,,
2015-02-11,27.324501302281014,27.80301984182764,27.26440906617443,27.794116973876953,294247200,,,2.3438814118814433,2.3168343305200456,,,
2015-02-12,28.056747852813622,28.3727937468732,27.947690683382778,28.145774841308594,297898000,,,1.265224103943141,1.2572870215822853,,,
2015-02-13,28.328280346900737,28.328280346900737,27.965497351910535,28.283767700195312,217088800,,,0.4902791259602912,0.48908117180405153,,,
2015-02-17,28.375011983115424,28.684381082518065,28.2481491041287,28.450685501098633,252609600,,,0.5901540511597636,0.5884194632872674,0.5548529817773384,1.9993844924076356,31.739244852658278
2015-02-18,28.406172823740263,28.66212473782531,28.36611077024827,28.648771286010742,179566800,,,0.6962425735030475,0.6938299966819862,0.6719662897276825,1.8952453053637053,30.086086508730205
2015-02-19,28.59535317833285,28.717765476256087,28.56196954985219,28.58867645263672,149449600,,,-0.20976408647364053,-0.20998439947913583,0.6646607797142031,1.8983072597479866,30.134693527689997
2015-02-20,28.62651465154113,28.82237434387207,28.499653457078956,28.82237434387207,195793600,,,0.8174491450225752,0.8141261265404889,0.6451676092821147,1.893468433091412,30.057879535866117
2015-02-23,28.938110882852925,29.60135841369629,28.857986769347917,29.60135841369629,283896400,,,2.702706100928287,2.6668280170146734,0.6071847610035582,1.837733613346176,29.173116701388675
2015-02-24,29.588010876682656,29.734905680161766,29.194066956842338,29.41663360595703,276912400,,,-0.6240416576753671,-0.625996936374703,0.5828078259228552,1.8494067384943647,29.358421818378925
2015-02-25,29.280862882102554,29.289767448381888,28.521909921395615,28.664352416992188,298846800,,,-2.557332694970582,-2.590600858107221,0.5796982592030204,1.854776957387403,29.44367140044068
2015-02-26,28.66435120069195,29.1272901407614,28.179157638062435,29.027135848999023,365150000,,,1.2656257735366827,1.25768367186424,0.5922912132167435,1.8582204946024037,29.49833585904841
2015-02-27,28.933661063898402,29.060525669459057,28.54194502901291,28.590909957885742,248059200,,,-1.5028209926826963,-1.5142277739788326,0.5548988628583006,1.8895052650608781,29.99496619378959
2015-03-02,28.766728714230968,28.995972005991295,28.55529115531855,28.731117248535156,192386800,,,0.4903911447937004,0.48919264404987317,0.6617134715817304,1.7860816954520797,28.35316792446484
2015-03-03,28.7021868109536,28.826823548729973,28.50855158267579,28.79121208190918,151265200,,,0.20916288376180425,0.20894444274740342,0.6945852688063866,1.767670019072964,28.060891622951186
2015-03-04,28.73334373735905,28.835722451302797,28.559742095370847,28.60870361328125,126665200,,,-0.6339033872860389,-0.6359210861687632,0.5875973649674763,1.7468970700862727,27.73113128085389
2015-03-05,28.617620409496848,28.6554563326568,27.98998252123944,28.13465118408203,226068400,,,-1.6570217078244132,-1.670903879912498,0.5069165052001723,1.793762723861006,28.47510047036429
2015-03-06,28.577552179150562,28.7934420686846,28.101261454083147,28.17693328857422,291368400,,,0.15028480081569207,0.15017198622355699,0.4252076751498531,1.7503631596655076,27.786153747145057
2015-03-09,28.479621776355522,28.83795583428651,27.834178300278573,28.297117233276367,354114000,,,0.42653309170050946,0.4256260177080385,0.4222248567862855,1.7502793168332131,27.78482278344426
2015-03-10,28.13464793933434,28.31492636258057,27.553748911042486,27.71177101135254,275426400,,,-2.068571922356399,-2.09026657246915,0.34973166261314453,1.8079079834032077,28.699649504239062
2015-03-11,27.76518760312618,27.769638188666633,27.177611824964035,27.206544876098633,275756000,,,-1.8231463266888737,-1.8399704385118638,0.4056710138996837,1.7078346610755846,27.111034761733674
2015-03-12,27.2221214408066,27.79856984189361,27.070776078556776,27.698413848876953,193450800,,,1.807906792348457,1.791758497808154,0.2774907651732531,1.4205375133009726,22.55033392939489
2015-03-13,27.687283875056004,27.909850462961522,27.282212752989896,27.507003784179688,207309200,,,-0.6910506346738954,-0.6934494472999869,0.15067747609957216,1.325264002841485,21.0379138381474
2015-03-16,27.57154811064619,27.809694290161133,27.34675708098747,27.809694290161133,143497200,26.586998291015625,,1.100412492601377,1.0944020075524126,0.23613844268354742,1.300013336235633,20.63707193248127
2015-03-17,28.021134600076984,28.33717875688107,27.965492951426334,28.274860382080078,204092400,26.667744445800782,,1.6726760354338621,1.658840874962044,0.25007227748666444,1.313477000284536,20.850800973335982
2015-03-18,28.265956952446786,28.746701602291754,28.125740611932834,28.593130111694336,261083600,26.768512191772462,,1.1256279440940098,1.1193398954414897,0.2870306586711295,1.3222586850890217,20.990205897844927
2015-03-19,28.655451307109757,28.766734613156785,28.354986720392482,28.377243041992188,183238000,26.864917907714844,,-0.7550312570146045,-0.7578960471603476,0.23629745646733552,1.3323690773711039,21.150703399659104
2015-03-20,28.544168444485248,28.577552078379163,27.85643841749427,28.021137237548828,274780400,26.947594985961913,,-1.2548992300499329,-1.2628395893800584,0.17067634939530857,1.3563077595870827,21.530718198807612
2015-03-23,28.292671996341824,28.45514469325615,28.159130653391948,28.312702178955078,150838800,27.01774745941162,,1.0405178738268628,1.035141747476686,0.23342965822709077,1.351376796358211,21.45244158424202
2015-03-24,28.317152352132542,28.4974290763615,28.168031423359356,28.19696617126465,131369200,27.085053062438966,,-0.40877768204143905,-0.40961546189225334,0.19766169395363206,1.3537787742541378,21.4905718012458
2015-03-25,28.16357933072388,28.22589771049454,27.460268020629883,27.460268020629883,206620800,27.14986198425293,,-2.6126858689695887,-2.647422888351591,0.04653426322013451,1.4067729422514528,22.331828137991838
2015-03-26,27.32227099534107,27.794111009129256,27.286659531180717,27.651668548583984,190291600,27.214198265075684,,0.6970089578525185,0.6945910791349952,-0.008361485247496322,1.3448009765757505,21.348053681377404
2015-03-27,27.725119459155888,27.754052503943598,27.35565981059288,27.431331634521484,158184800,27.275989990234375,,-0.796830446869301,-0.8000221067260641,-0.0770966369412444,1.3300781380918902,21.11433586604981
2015-03-30,27.60938564027451,28.132416777154006,27.59825663176819,28.12574005126953,188398800,27.3648828125,,2.5314426073073104,2.4999322694479957,-0.009057854229677087,1.4099133160360857,22.381680026339392
